****Header****
date 01/15/25 03:03:53
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2098
Emissivity:	   1.0000
FF:	   0.7974
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5107
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9025
Iref1:	  13.5782
Iref2:	N/A
Isc:	  13.5792
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:03:53.678000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:03:53.877000
Pmax:	 540.5840
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1792.0000
Rs:	   0.2799
Rsh:  582.0489
Snr: A8C7A02
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  25.9966
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.9240
Vpmax:	  41.8977
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 7a6a6e3d-4c26-44f3-aec8-d61bb2f08982

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0022,16.5796,13.5529,19.8531,999.7553,13.5503,20.4180,999.7553
0.0022,16.7285,13.5509,20.0115,999.6383,13.5499,20.5792,999.6383
0.0022,16.8771,13.5509,20.1382,999.8723,13.5468,20.7095,999.8723
0.0022,17.0258,13.5529,20.3178,1000.1063,13.5455,20.8939,1000.1063
0.0023,17.1744,13.5529,20.4762,1000.1063,13.5455,21.0557,1000.1063
0.0023,17.3231,13.5529,20.6134,1000.2819,13.5432,21.1965,1000.2819
0.0023,17.4717,13.5509,20.7824,1000.1648,13.5428,21.3685,1000.1648
0.0023,17.6204,13.5529,20.9091,999.8723,13.5487,21.4970,999.8723
0.0023,17.7690,13.5489,21.0675,1000.0478,13.5424,21.6591,1000.0478
0.0023,17.9177,13.5489,21.2365,999.9308,13.5440,21.8312,999.9308
0.0023,18.0663,13.5470,21.3737,1000.1063,13.5397,21.9719,1000.1063
0.0023,18.2150,13.5548,21.5216,999.9308,13.5499,22.1229,999.9308
0.0023,18.3636,13.5509,21.6694,1000.1063,13.5436,22.2742,1000.1063
0.0023,18.5123,13.5529,21.8278,999.9893,13.5471,22.4357,999.9893
0.0023,18.6585,13.5489,21.9757,1000.1063,13.5416,22.5868,1000.1063
0.0023,18.8019,13.5489,22.1341,1000.2234,13.5400,22.7490,1000.2234
0.0023,18.9453,13.5489,22.2925,1000.1648,13.5408,22.9106,1000.1648
0.0023,19.0887,13.5489,22.4192,1000.2234,13.5400,23.0402,1000.2234
0.0023,19.2321,13.5450,22.5776,999.9893,13.5393,23.2008,999.9893
0.0023,19.3755,13.5450,22.7148,999.8138,13.5417,23.3403,999.8138
0.0023,19.5189,13.5489,22.8838,999.8138,13.5456,23.5132,999.8138
0.0023,19.6623,13.5450,23.0422,1000.2234,13.5361,23.6762,1000.2234
0.0023,19.8057,13.5489,23.1795,1000.2819,13.5392,23.8170,1000.2819
0.0024,19.9491,13.5470,23.3168,1000.2234,13.5381,23.9568,1000.2234
0.0024,20.0925,13.5509,23.4540,1000.2234,13.5420,24.0973,1000.2234
0.0024,20.2359,13.5489,23.6019,1000.2819,13.5392,24.2484,1000.2819
0.0024,20.3793,13.5430,23.7497,1000.3404,13.5325,24.3991,1000.3404
0.0024,20.5226,13.5489,23.8870,1000.3989,13.5376,24.5400,1000.3989
0.0024,20.6583,13.5470,24.0454,1000.3989,13.5357,24.7016,1000.3989
0.0024,20.7939,13.5391,24.1827,1000.3404,13.5286,24.8410,1000.3404
0.0024,20.9295,13.5430,24.3411,1000.3404,13.5325,25.0031,1000.3404
0.0024,21.0651,13.5391,24.4783,1000.0478,13.5326,25.1418,1000.0478
0.0024,21.2008,13.5391,24.6262,1000.1648,13.5310,25.2933,1000.1648
0.0024,21.3364,13.5411,24.7635,1000.2819,13.5314,25.4341,1000.2819
0.0024,21.4720,13.5450,24.9007,1000.4574,13.5329,25.5753,1000.4574
0.0024,21.6076,13.5509,25.0275,1000.3989,13.5396,25.7049,1000.3989
0.0024,21.7433,13.5391,25.1859,1000.4574,13.5270,25.8660,1000.4574
0.0024,21.8789,13.5391,25.3020,1000.4574,13.5270,25.9846,1000.4574
0.0024,22.0145,13.5391,25.4604,1000.6329,13.5246,26.1471,1000.6329
0.0024,22.1501,13.5450,25.5766,1000.4574,13.5329,26.2655,1000.4574
0.0024,22.2858,13.5411,25.7139,1000.3404,13.5306,26.4049,1000.3404
0.0024,22.4160,13.5411,25.8511,1000.2819,13.5314,26.5449,1000.2819
0.0024,22.5419,13.5391,25.9778,1000.4574,13.5270,26.6748,1000.4574
0.0024,22.6678,13.5391,26.1151,1000.2819,13.5294,26.8144,1000.2819
0.0025,22.7938,13.5352,26.2630,1000.2819,13.5255,26.9651,1000.2819
